"C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","T01","T02","T03","T04","T05","T06","T07","T08","T09","T10"
"RNA45SN3",5,239,6,5,2,3,9,14,9,11,11,11,50,63,10,386,8,7,7,1
"CDC27P10",54,232,96,21,14,123,11,86,78,174,31,57,342,251,23,16229,36,75,13,41
"RNA45SN1",2,207,10,2,2,10,2,17,21,10,5,15,53,83,10,371,4,9,2,5
"LOC101927345",6,0,6,0,0,0,6,16,5,16,4,9,22,12,1,54,0,1,0,1
"APP",1,5,12,38,102761,35,3,0,0,0,0,0,0,0,0,11,0,0,0,0
"ERG",2,7910,0,0,0,4,0,3,40,14,3,4,0,4825,6,0,3,17933,0,0
"LRP5L",2,1107,8,3,0,7,0,0,0,1,0,0,0,12,0,6,0,0,0,0
"RPL3",2,2536,0,2,0,0,0,6,29,110,2,11,0,5,6845,0,0,262657,10,7
"SNORD140",1,147,0,0,0,32,42,0,243,0,0,99,0,0,2,0,0,9,0,0
"SERHL2",315,16017,1,0,1,5,1,1,7932,2,3,350,6,21660,16613,7,2,131,21268,1
"LOC107987392",6,4,6,1,135,10,0,15,2,18,0,2,50,40,3,243,6,42,2,4
"RNA45SN4",4,324,6,3,4,14,6,17,13,21,9,15,88,76,7,472,8,10,8,5
"LOC105379549",13,13,39,3,1,4,0,16,17,26,14,9,64,44,7,441,4,15,4,9
"LOC124905331",26050,405762,18681,123917,13188,63926,41929,64761,125737,16444,31274,327420,66336,109688,186652,43913,46575,199366,206115,138772
"LOC124900510",0,105,12,86,0,0,55,0,0,43,0,25,0,55,20,46,5,41,31,173
"TMSB4X",2,16169,0,158,1,0,1,67324,31,9,3,21574,2,30,34325,186,3,33630,241,2
"RPS4X",10516,16153,1,4,3,2,1,39154,676,151,25,9,0,19,5,0,0,22494,2,1
"HDX",0,0,0,6,0,30,0,117,535571,13,0,0,0,0,0,0,0,5,5,11
"NRK",2,0,0,0,0,4,0,9,21,131,0,0,0,0,0,2,2,38,739,160221
"WDR44",4,8655,2,6,1,0,0,0,0,0,0,0,0,2,2889,0,0,32,0,0
"SEPTIN6",35,75146,1,9,1,2,3,0,0,0,0,0,0,0,0,0,0,0,4,0
"LOC100507412",82,6,46,5,3,17,3,41,25,71,8,14,129,48,6,808,7,14,16,7
"RNA45SN5",4,383,4,4,3,10,6,13,18,19,10,15,60,99,13,473,8,10,11,4
"LOC112268317",7,45,24,20,1,7,15,9,7,75,27,28276,51,15,7,331,7,7,7,5
"LOC107987401",9,98,11,3,2,4,0,0,2,8,2,11,49,22,0,1434,0,1,0,18
"LOC124905432",0,8,0,3,0,12,4,6,6,7,0,24,0,0,25,0,3,3545,20,397
"EEF1B2_1",1,4148,1,10625,1,0,2,0,3,1255,1,7,0,0,0,12,0,0,0,0
"RPS3A_1",21,39008,0,0,0,2,2,8,46081,11,3,12,6,2650,11,0,0,62822,4,1
"LOC112268384",2,0,11,50689,2,1,1,1,0,18,0,1,4,0,0,661,3,0,0,3
"DEFA1_1",0,2462,0,1,6,1,0,9,10,36,0,1862,0,0,0,0,0,120927,9,3
"DEFA3_1",0,2392,0,1,9,0,0,13,11,40,0,1921,0,0,0,0,0,155694,11,6
"RPL7A_1",13732,10722,0,3,0,100,1,1,11910,2,23,60065,3,19,34549,23,0,31186,301,1
"FNBP4_1",14,27549,1,4,0,5,3,0,0,4,0,0,0,0,0,0,0,0,0,0
"RPS25_1",52,134662,23809,16810,27492,20,7,65542,96536,28,21,58988,4,27,71703,5505,1,109357,16,7
"PFDN5_1",6,33409,0,8,0,10,3,0,0,0,13,94488,2,6,5,34,3,0,0,0
"LOC100507412_1",6,23,0,1,19,4,5,4,9,15,0,22,2,6,4,41,0,18,12,0
"LOC124905472",12,18,0,0,17,4,5,1,8,11,0,17,1,6,3,6,0,12,5,0
"SNORA79B_1",4,25163,0,1,0,7,0,5,43,76561,3,4543,5,19,44245,1,0,25,26649,2
"LOC124905530",6,27,0,0,53,4,10,2,7,9,0,20,2,4,4,42,1,24,8,0
"RPS2_1",4,22950,0,1032,0,79,1,6448,73,24,9,69123,1,0,2,72,1,137381,1198,2
"LOC107984974_1",2,13022,1,6,3051,1,1,3,2125,0,5,627,0,1,4189,1,0,208,1760,0
"ACTG1_1",0,4062,0,105,17,2,0,35,4725,13,1,13438,1,5,1454,5,0,12,0,0
"RNA45SN3_1",4,177,3,4,3,11,5,10,11,7,13,10,60,60,3,407,6,3,1,4
"CDC27P10_1",290,39,131,25,23,93,42,132,95,287,51,100,590,322,24,24003,57,138,50,52
"RNA45SN1_1",5,321,5,2,2,6,1,12,18,29,10,8,35,47,9,402,5,6,5,2
"SEPTIN6_1",32,71219,1,8,1,2,3,0,0,0,0,0,0,0,0,0,0,0,4,0
"LOC124900216_1",6,0,0,0,0,10,14,6,16,10,0,0,0,2,2,51,2,0,0,0
"TRBV3-1_1",0,0,4,0,2,9,1,15,0,5,11,0,0,0,2,0,0,0,9,11
"TRBV5-1_1",0,0,6,0,1,7,0,19,10,2,2,9,48,32,0,26,2,0,0,0
"TRBV29-1_1",13,0,20,1,0,9,1,0,13,3,0,0,10,14,0,38,2,0,3,1
"TRBJ2-3_1",2,0,16,0,2,8,0,35,0,11,4,7,0,0,2,15,0,0,0,13
"B2M_1",3,10496,2,0,0,4,0,32,6,17,0,4,0,0,827,0,0,30047,6,1
"RPS17_1",2,13059,3,22,28286,1,0,14,3,2,19,25914,66,0,2034,4,1,305,43020,0
"TUBB_2",0,1023,2,0,0,0,0,6,429,7,0,2,0,0,0,24,0,24890,3,1
"RPS18_1",16,67987,0,782,946,14,2,3,11,3,38,41724,0,1,901,47,2,11458,45265,2
"TUBB_4",0,3011,2,0,0,0,0,9,494,56,0,1,0,0,0,63,1,236107,14,7
"RPS18_4",12,55957,0,712,794,11,0,2,9,3,33,37437,0,1,836,28,2,9489,34960,1
"RNR1",789,2718393,73013,192581,199,6086,256,799,6796,1260,599,1862033,1381,23678,2563547,1304762,137,3180662,591587,200082
"TRNV",3,3234,4,4,0,5,2,162,1,0,9,170,1,5633,1207,32,0,2123,1,0
"RNR2",6135,18891232,338444,933734,253196,1768315,291007,541109,829848,6234,110844,10966250,1239533,480606,19049764,3251331,6296,19248586,6331445,455404
"TRNL1",2,3391,0,5,269,1,5,1,5623,0,2,3661,0,0,2984,1,1,727,0,0
"ND1",1196,4122852,4134,12611,19348,6971,52875,443859,309312,1986,639,2981333,965,203346,2703788,208236,163,7573543,91993,262
"TRNM",43,31317,2,47,313,13,4,10,3977,53,11,106442,4,19,39734,13,2,114213,1909,8
"ND2",187988,6491909,297589,78810,9203,172824,424,129969,605220,2930,7467,7261343,586,171876,2977621,419998,272,11264869,515255,400
"COX1",1341,3979577,32879,420799,198,71832,6969,874446,760685,1048,3038,5592561,540,320209,3803344,107370,266,3472045,971,167
"TRND",4,6480,2,1,0,6,0,58,603,6857,0,407,0,1,4459,4,2,25981,1,2
"COX2",384,1314449,73,7422,52,6841,57,2554,175,1259,9175,2249094,7317,699,1326477,196323,147,1573731,107277,67
"ATP8",20,67309,11,5839,5,6209,8,9,13,41,71,241157,26,50,33467,31173,28459,126659,24,64
"ATP6",21524,2458333,307415,160486,126,406,204,373591,124423,1524,628,1435201,229,865,1246086,182977,124,2646062,92851,3730
"COX3",1438,3854554,568696,326201,35582,950,782770,10876,191272,187749,1127,2989445,607,164069,6157485,71430,316,5022987,359684,183
"ND3",10481,303204,43,171,15,70,21,35,44223,306510,122,820882,52,140,203959,72464,28,215308,35,798
"ND4L",248,844761,55,18745,26,146,3569,104,25221,10784,190,433616,246,2889,800017,149566,30,1445584,12958,32
"ND4",1149,3613483,110275,607939,335,414979,115328,6522,247759,1797,1007,6210988,500,64046,2174540,418713,271,6932511,308054,278
"TRNL2",5,9937,1,4,0,0,2,2,9,7,1,1657,0,1,2426,0,0,10037,0,0
"ND5",839,2582701,24482,54866,13155,39200,230,485,671788,1188,7973,4830958,240691,1012,1711880,196016,234,3536942,641431,24519
"ND6",25,57538,17,19,4,72,10,1584,16,41,1455,81845,50,50,27316,7084,20,158416,14,10
"CYTB",650,1835889,130,17701,161526,201967,114,1626053,91672,1229,20304,1700490,464,8959,2859410,275173,132,3885100,133809,6227
"TRNP",15,20949,0,0,0,4,1,11,17,7,4,17570,16,22,46649,6,1,57455,15,15
"MIR12136",4,10666,0,0,0,4,0,3,0,0,4,66731,2,11,12816,8,7,369,0,0
"LOC100288069",0,2,1,0,0,0,0,0,0,1,3,0,0,0,0,37,3,270,0,2
"PAX7",0,0,0,0,2,0,0,0,0,0,5,26,42,301463,4,46,12,2,0,0
"HNRNPR",0,0,0,0,0,0,0,2,0,0,23,22,6,16,1,49,138512,4,0,0
"LAPTM5",0,3662,0,27744,0,0,0,0,0,0,2,633,0,4,4621,60,0,0,0,0
"MACF1",2,6947,8,3,0,0,0,0,2,2,1,0,3,6,7478,16,4,8,14,3606
"YBX1",0,2141,5,3178,0,0,0,0,6,0,5,0,4,2,2159,78,0,3,1060,1
"NFIA",1,0,0,0,0,0,0,4,2,0,7,65021,4,3,0,4,0,2250,0,2
"CCDC18",4,0,0,0,0,0,0,0,0,0,1,6,9,29,64032,1,3,1,0,0
"CSDE1",0,2391,0,0,0,0,0,0,3579,0,8,25405,2,10,13134,3,0,0,0,2
"SRGAP2B",0,1484,0,0,0,3,0,1,0,2,2,3345,0,8,2,28,0,0,32,0
"TXNIP",6,10562,0,0,2,0,0,0,1,2,5,27927,0,2,0,3,1,4244,10178,0
"PDE4DIP",0,0,2,0,2,0,0,1,11,0,0,1,5,16,0,83,1,0,10,0
"LINC00869",0,47,0,0,0,2,0,0,0,0,2,1,7,8,24788,0,1,2,0,0
"MTMR11",0,0,0,0,0,0,0,0,0,0,17,116645,2,8,9,17,3,0,0,0
"SSR2",0,0,0,0,0,0,0,23,88631,14,2,2,2,2,22219,0,0,53163,2,4
"MNDA",0,4611,0,0,1,2,0,0,0,0,1,15643,1,5,11185,5,0,0,0,0
"RPL31P11",0,2142,1,1030,0,0,0,0,1667,1,0,2352,2268,0,52,19,0,2591,0,0
"PTPRC",0,13765,0,0,4,0,3,0,0,0,11,7,6,63,117902,14,2,0,5,0
"NAV1",16,0,0,0,0,0,0,0,0,0,0,0,40,4,0,60,2,0,0,3
"SRGAP2",0,2,0,0,0,1,0,8,0,15,2,0,0,8,2,25,0,4158,27,2
"CENPF",0,5135,10,0,0,0,0,17,0,0,12,32645,2,20,0,19,0,0,5,0
"ENAH",0,0,6,0,0,6,0,0,867,12,6,0,0,15,0,87,0,539,0,4
"OBSCN",0,0,4,4,0,0,0,21,2,0,0,8,7,44,6,142,1,0,2,2
"SMYD3",0,214,0,0,0,0,0,0,0,37,0,16,5,48,6,21347,1,11,2,14
"MAP4K3",0,0,0,0,0,0,15,0,0,0,17,145582,3,3,5,26,1,0,0,0
"FOXN2",0,47,0,0,4,0,6,0,0,4,3,13792,42,4,3381,0,0,0,0,0
"RGPD1",4,2,0,2,0,0,0,0,1,2,2,2,9,1,2,180,24004,0,0,96
"LOC105377635",0,1,3,2,2,2,0,0,1,0,6,10,6,9,1,60,0,4,6,1
"LINC01943",0,0,0,0,0,0,0,0,0,2,2,4,21,3,319,38,6,0,0,0
"RGPD2",3,1,0,1,0,3,0,0,0,0,2,1,9,12,1,534,15538,0,0,18
"ANKRD36",0,149,0,0,0,12,0,0,0,0,10,5,53,5,2,5152,50410,0,0,5
"ANKRD36B",0,204,0,0,0,12,0,0,0,0,5,0,61,4,3,3262,28905,0,0,2
"RGPD5",0,2193,0,0,0,1,2,5,32,2,0,4,2,2,2,7898,102,3,16,6333
"LOC105373551",2,2,0,5,0,0,4,0,0,29,2,0,2,23,0,24,0,0,4,8
"RGPD8",0,1291,0,0,0,4,0,0,33,0,0,2,3,3,2,8397,1651,2,33,10861
"EPC2",0,0,2,0,0,0,0,0,0,9,21,130129,3,5,4,9,23667,0,0,0
"HNRNPA3",1,4322,1,666,0,0,0,0,2,7,6,0,2,0,0,118,3,17803,1,1
"ITPRID2",0,0,22,0,0,8,0,0,0,0,10,53246,93,244151,0,10,10,2,0,0
"FAM126B",0,0,35,0,0,0,0,0,0,3,0,0,2,12,0,30,2,0,6,3
"NBEAL1",8,7899,1,1,0,9,0,0,3,18,5,1127,2,2,9695,20,0,246,0,2
"CREB1",0,701,0,0,0,0,0,0,0,0,19,151510,2,3,1,28,20,2,0,0
"TNS1",0,107,0,2,0,0,0,0,0,4,500,0,1,6,0,97,5,4,0,9
"SMARCC1",3,10985,0,0,0,4,1,0,0,0,2,6,20,0,5340,0,0,1332,0,2
"RHOA",0,460,0,0,0,1,0,4,5,4,8,0,0,25,0,70,0,14,67309,4
"PPM1M",0,0,0,0,0,0,0,31,123570,0,1,13495,0,11,1,1,0,54,3,2
"VGLL3",0,0,12,0,1,2,5317,15,0,0,83,32208,0,3,29,2,2098,29,50666,1649
"RNF13",2,457,0,0,0,0,4,0,0,0,25,38,435319,6,22,48,4,0,0,0
"VPS8",12,0,14,2,0,1,0,62389,0,0,0,0,2,11,1786,19,0,0,0,13
"TFRC",1,6130,0,1,0,2,0,0,4,0,21,86797,1,6,16,11,3,0,0,0
"RPL35A",4,12249,1,0,0,2,0,18,30,0,19,14501,0,6,12838,1,2,21,12,0
"ZNF141",0,1,0,0,0,0,0,0,0,2,2,0,25,8,0,79,0,1,0,4
"TAPT1-AS1",0,349,0,1,0,0,0,0,171,0,6,103,0,0,92,0,2005,1,0,1
"LOC105374423",0,0,15,0,0,0,0,0,0,0,1,1,85,14,0,4152,0,0,6,2
"YTHDC1",0,63,0,2,0,0,0,0,0,0,13,131321,6,5,2,50,1,0,0,0
"MTHFD2L",0,110,0,0,0,0,0,0,0,24,2,0,2,0,0,6,13,0,0,4
"METAP1",0,5216,2,2,0,0,0,0,0,0,37,335694,12,6,20,52,7,0,0,8
"UBE2D3",0,2430,0,0,0,0,0,4,8,7,26,107421,2,2,30,18,1,77770,0,0
"TET2",0,1682,0,0,0,0,0,0,0,0,35,191346,0,0,7,55,10,0,0,1
"RPL34",0,7998,2,2,2,1,0,0,7,5,1,0,0,0,13,39,0,51872,10477,4
"RAI14",3,0,2,2,0,0,0,0,859,0,4,15578,0,0,0,13,2,0,31,0
"LOC105374745",0,2,0,2,0,0,0,0,0,0,0,0,11,8,0,24,4,4,0,4
"PARP8",0,4,0,0,0,0,0,0,10,8,1,0,0,6,15016,88,0,60294,2,1
"CWC27",0,5,10,0,0,4,0,2,11,2,2,0,8,8,0,476,10,0,2,0
"NSA2",0,5469,1,2,0,0,1,11,12,11,9292,0,0,0,1,55,0,53,149156,4
"MEF2C-AS1",1,0,0,0,0,0,0,0,0,0,4,0,4,0,0,24,0,4779,0,1
"AP3S1",0,0,4,0,0,0,0,0,0,0,5,6,5,8,14,13,33972,0,0,0
"UBE2D2",0,2,0,0,0,0,0,0,2,3,1,3177,1,10,2491,0,0,3018,1,0
"SYNPO",1,4853,0,2,0,10,0,0,0,4,6,122,42552,1,18,14,0,355,2604,0
"LOC105374897",0,0,0,273,0,0,0,0,0,0,4,40715,3,1,1,20,5,0,0,0
"LYRM4",0,0,0,0,0,0,0,0,0,2,15,8,33,199824,7,11,8,0,0,0
"CARMIL1",0,2,2,0,0,0,0,0,0,6,43,258603,3,6,5,23,3,0,0,0
"TRIM38",0,0,0,101,0,0,0,2,0,1,2,0,56,0,2,12,0,412,0,2
"TUBB",0,2668,2,0,0,0,0,4,443,56,0,1,0,0,0,63,1,237592,14,7
"SNHG32",0,0,0,0,0,0,0,0,0,0,5,66483,3,1,1,7,1,0,0,0
"STK38",0,10,0,0,0,0,0,4,33,174941,38,221077,4,6,6,50,7,4,3,1
"BCKDHB",0,3,11,4,0,0,1,0,4,21,3,0,41,13,3,115,4,1,4,0
"UBE3D",10,0,2,0,0,0,0,0,0,0,5,10,2,4,4,43699,0,0,1,4
"LYRM2",0,2,0,0,0,0,0,6,0,0,4,106058,10,3,2,8,1,0,0,0
"TSPYL4",2,169,0,0,0,0,0,0,0,0,31,221544,7,4,5,21,4,3,0,0
"THEMIS",0,325,2,0,0,2,0,0,0,2,7,0,8,11,0,34,0,4,0,1
"HEBP2",2,0,0,0,0,0,0,0,16,0,11,11,6,9,8,43,214051,0,0,0
"REPS1",0,53,8,0,0,0,0,0,2,0,2,2,2,6,25006,0,1,0,0,0
"PHACTR2",0,2838,0,1,0,0,0,0,3,0,63,50626,21,4,5,17,1,0,0,1
"UTRN",0,20,0,0,0,0,0,4,41,0,10,125368,4,9,9573,80,1,672,2,4
"SASH1",0,0,0,0,0,0,0,0,0,0,8,96428,44,3,2,103,3,2,0,0
"RPS18P9",0,889,0,38,56,0,0,0,0,0,4,235,6,0,5,1,0,91,543,0
"SYNE1",0,0,6,4,0,0,0,0,10,0,0,1,2,19,24885,99,5,0,4,0
"MAP3K4",0,0,0,0,0,0,0,0,0,0,5,4,20,25,35678,0,1,0,0,0
"AFDN",0,0,0,6,0,0,0,0,1,0,8,0,13,20,0,553,6,8,0,0
"RPL23P8",3,2859,0,0,606,0,0,0,0,1,2,96,0,6,1353,0,0,579,0,0
"HNRNPA2B1",0,2,0,0,0,2,0,0,0,2,5,6,11,55813,4,155,1,0,14,2
"CBX3",0,0,0,0,0,0,0,1,1,2,3,3,0,0,0,28,14,21813,0,2
"CREB5",0,0,0,0,0,0,0,0,0,0,0,0,25177,24,2082,14,0,0,0,4
"PDE1C",0,13,4,0,0,4,0,12,0,0,2,5,34,10,0,5351,5,2,6,0
"BBS9",0,5210,0,2,0,0,2,0,4,0,2,11,52,34,0,3596,6,0,0,0
"EGFR",0,0,0,0,0,4,0,0,0,6,4,8895,16,0,46,63,4,0,2,0
"PTPN12",0,2,0,2,0,0,8,60,343003,3,2,0,0,6,867,39,0,8,11,8
"MAGI2",3,0,0,0,0,0,0,0,0,0,5,6,2,8,1,2082,2,4,0,3
"CD36",0,3149,2,0,0,23,0,0,0,0,12,98819,2,3,2,21,5,0,0,0
"MUC3A",0,0,7,2,10,3,2,1,2,0,9,0,2,37,2,85,0,7,0,7
"NAMPT",0,0,0,0,0,0,0,0,0,2,5,10461,2,3,16676,19,0,0,0,0
"LOC124901725",2,0,0,0,0,22,0,4,2,0,2,0,2,6,0,0,4,0,0,4
"CAV1",0,0,0,0,0,0,0,0,0,0,8,62272,2,738,0,5,0,0,0,0
"CALD1",0,0,0,0,0,0,0,0,0,0,5,48550,2,1,3,7,3,0,0,0
"HIPK2",0,3221,28,3,5,0,0,2,4,0,6,2,43,32,0,216,0,6,2,4
"ESYT2",2,8053,9,0,0,0,1,1,0,10,2,0,0,7,10416,38,0,3183,22496,0
"TACC1",0,0,0,0,0,0,0,2,10,0,1,3,34,0,0,33,1,0,6,6
"RPS20",12,29176,1,0,0,3,582,3,2,9,22,54,0,0,2,1084,0,40484,45834,1
"PAG1",4,0,0,0,0,4,0,6,0,10,17,182370,18,16,15,16,5,0,0,0
"PLEC",0,0,7,0,0,0,0,0,2,0,6,0,2,3,0,0,11,0,10,2
"LOC107984006",4,7,1,0,0,0,1,1,1,0,10,1,3,15,0,74,0,0,0,1
"LOC105376065",1,0,12,0,0,4,0,6,2,0,2,0,15,12,2,26,2,3,0,0
"LOC107987007",2,4,19,0,0,0,0,1,3,13,4,0,6,1,361,44,3,2,0,2
"GKAP1",0,20,0,0,0,0,0,0,0,2,7,107763,3,2,3,13,5,0,0,0
"ANP32B",4,3329,0,0,0,0,1,8,0,0,2,20,275,2,9050,1694,1,6,0,1
"PAPPA",0,0,0,0,2,6,0,6,27004,2,3,18,20,39642,2,71,3,0,2,1
"RPL35",0,2919,0,71,3,0,0,4,1501,2,5,1349,0,0,0,1,1,16,22378,1
"RPL12",1,9441,3,2,0,8,0,0,4,0,0,4113,2,2,7912,36,0,1524,0,0
"LARP4B",1,0,8,0,0,0,0,0,12,0,1,4447,0,8,0,1440,0,255,0,8
"SFMBT2",0,0,0,1,1,0,0,0,0,0,13,0,0,41,2,1394,6,6,1,6
"CELF2",0,1904,13,0,0,4,0,2,0,0,6,9,73,258963,2826,1,9,0,0,0
"SUV39H2",0,0,0,0,0,0,0,0,0,0,23,110651,1,5,5,8,3,0,0,0
"ZEB1",0,956,3,4,21835,0,0,0,0,0,13,161657,7,5,153,26,1,8,6,0
"SGMS1",0,2,0,5,3,1,0,0,0,0,4,2,23,0,8,1823,4,0,0,2
"CCDC6",0,3535,0,0,0,0,0,0,0,0,29,168891,8,13,8,6,1,0,1,0
"LOC112268061",0,4,0,4,0,0,0,0,4,0,0,0,18,17,0,25,6,0,0,4
"RPS24",8,20414,1,7,1,2,0,0,3,0,7,2452,0,7,4926,4,0,1304,21,0
"GHITM",2,2115,0,0,1,0,0,0,4,0,4,6,11,61191,5,49,2,0,0,0
"PIK3AP1",2,7765,0,0,0,1,2,0,0,0,5,7,6,24,107723,3,3,0,0,0
"ADAM12",0,0,0,0,0,2,0,3,2,11157,4,0,0,4,0,9,2,108,332,50947
"IFITM2",0,3611,0,0,0,0,13,0,0,0,8,169877,5,2,1543,18,7,0,0,0
"EIF4G2",2,288,0,2,0,0,0,0,1,0,19,92263,0,6,2,10,1,1287,0,3
"CD59",0,8,0,0,0,0,0,1,0,1,2,0,4,14,0,6,0,5,13997,1
"LMO2",0,0,0,0,0,0,0,0,0,0,1,38414,1,0,482,9,2,0,0,0
"KMT5B",0,0,0,0,0,0,0,0,0,0,4,0,12,31,0,72,0,0,0,6
"FCHSD2",0,0,2,0,0,2,0,4,0,0,0,0,13,20,4,16,8,0,11,2
"RAP1B",0,2386,0,0,0,2,0,11,20,90,2,4,0,0,69,0,0,249738,10,4
"PPP1R12A",0,0,0,0,0,4,0,0,0,4,13,1211,1,4,709,6996,0,0,0,0
"MRPL42",0,377,0,0,0,0,0,1,0,0,2,2,8,7,0,0,2,1,1397,0
"MED13L",0,0,0,6,0,0,2,0,0,0,12,37329,0,9,945,6,0,0,0,14
"TAOK3",0,0,0,0,0,0,0,0,0,0,5,0,0,7,2,102,8,0,0,9
"LOC107984449",0,1,0,0,0,2,0,0,0,0,13,14,3,3,10,22062,6,0,0,6
"NUP58",0,0,0,0,0,0,0,0,2,0,2,0,0,5,31662,14,1,0,0,0
"N4BP2L2",0,0,4,0,0,0,0,0,0,2,5,56615,1,2,6908,7,1,0,0,0
"RFC3",6,4,13,0,0,2,0,2,0,0,0,0,10,22,0,6,9,2,0,4
"FOXO1",0,0,6,0,0,6,0,2,0,0,6,1,52,42,8,124,4,4,5,6
"PCDH9",0,0,0,0,0,0,2,7,0,0,4,0,10,6,4,207,0,0,7,2
"CHD8",4,0,0,0,0,0,0,0,0,0,5,6,2,30,87897,2,6,0,0,2
"FKBP3",0,2565,0,0,0,0,0,0,0,2,5,34839,2,1937,2,119,2,10,0,0
"KIAA0586",0,0,12,0,0,0,0,0,0,0,3,0,1,22,1,17344,2,0,0,2
"SYNE2",8,7067,0,0,0,3,0,2,0,0,0,0,7,14,0,4,7,1969,0,4
"SRSF5",0,2029,0,0,1,0,0,0,0,0,6,17442,2,0,0,123,1,0,0,0
"RBM25",0,1830,0,0,0,0,0,0,1,6,1,0,0,0,4,42,8,31,66166,2
"DYNC1H1",0,4,0,0,2,0,0,4,0,0,8,0,3,9,5843,253,2,4,2,1
"THBS1",0,0,0,2,0,0,1519,0,0,0,13,133532,4,3,1,20,7,2,0,0
"CHP1",0,169,0,0,0,0,0,0,0,0,15,6652,2,5,0,2,2,0,0,0
"COPS2",0,1894,0,0,0,0,0,0,0,0,9,54557,2,2,3,14,4,0,0,0
"USP8",0,284,0,0,0,0,0,29,1,0,0,0,0,21,1297,84,0,15750,4,2
"SLTM",12103,104,0,4,0,0,0,0,4,0,3,33,4,0,0,0,1,2,0,6
"ANXA2",0,0,2,0,0,0,0,15,55,78,2,16,0,3,0,0,0,58,627,113480
"SLC24A1",0,0,2,0,0,0,0,22,10,23,0,0,4,0,0,36,0,113,311270,9
"RPL4",2,8161,0,2,0,1,1,0,10,3,14,21806,0,5,4,6,0,7159,0,0
"SIN3A",2,1517,2,0,0,0,0,0,0,0,1,0,43,13,2882,5,0,4,0,3
"PEAK1",0,0,0,0,0,3,2,2,0,12,0,0,15,24,1,35,0,11,34073,2
"LOC102723985",0,2,0,0,0,0,0,0,0,1,0,0,3,6,661,2,2,0,0,8
"SEMA4B",0,1,0,1,14,28,0,27,7,4,24,14,3,5,2,1,2,3,10,37
"MCTP2",0,772,0,0,0,0,0,0,0,0,0,0,2,8,4465,65,0,0,0,4
"LOC124903619",0,1,0,1,0,0,0,0,0,0,10,0,77,4,0,39,8,0,0,0
"PDPK1",0,0,0,0,0,0,0,2,0,0,0,0,19,16,0,82,4,4,0,2
"SRRM2",0,503,0,0,0,8,0,28,51854,0,10,6352,0,4,3,58,6,4,1,0
"SRCAP",1,0,0,0,0,0,0,12,0,0,3,0,0,8,0,106,4,0,0,2
"VPS35",0,712,0,0,0,0,0,0,16308,0,1,0,2,4,0,328,16,0,0,0
"NFATC3",0,1729,0,0,0,0,0,1602407,35,25,2,13,2,10,12523,0,0,23,36,30
"ZFHX3",6,0,0,2,0,0,0,0,18,0,0,0,20,31,0,66,8,0,0,5
"PLCG2",6,1094,4,0,0,0,0,0,215,1,0,249,0,125,337,32,0,0,320,8
"CRK",0,0,0,0,0,0,0,0,0,0,3,42490,3,8,0,161,1,0,0,0
"NCOR1",0,1340,0,0,0,2,6,0,10,53376,2,32,0,0,8,19,3,4,1,2
"TRPV2",2,0,0,1,0,0,0,0,2,11,7,0,47,2,0,46,0,9390,0,1
"TBC1D3D",3,0,2,1,0,2,0,7,0,11,4,0,2,5,0,31,0,0,0,1
"CASC3",0,0,0,0,0,11,0,0,13,0,4,65206,5,0,2,9,0,2,0,6
"GNA13",0,1282,0,0,0,0,0,0,0,1,17,0,0,5,5807,19,0,30925,2,1
"RNF213",0,260,2,0,0,0,0,0,0,0,19,4,6,11,28,31,10,10,0,2
"LDLRAD4",5,0,0,0,0,0,0,8,0,9,0,16,3,12,6,11375,2,3,0,2
"ANKRD30B",1,0,0,0,0,0,0,11,8,6,1,0,23,0,0,42,2,4,0,6
"MALT1",4,1,0,0,0,0,0,0,0,0,9,14,41,373122,4,5,9,0,0,2
"NDUFS7",0,0,4,0,0,0,0,0,0,0,1,0,0,12,0,11,5,0,3,3
"EEF2",0,372,0,296,0,2,0,5,2,11,17,21245,1,41479,7,5,2,48948,78,3
"DNMT1",0,0,0,0,0,0,0,0,0,6,12,54446,4,0,2,58,4,6,0,0
"CALR",0,2803,0,0,0,53,0,0,0,0,11,16,18,127261,5,7,3,0,0,0
"GATAD2A",12,2,0,2,0,0,0,4,10,0,18,70565,3,35,4,75,0,0,0,0
"RPS19",3,8256,0,2,0,3,1,4,552,5,35,4,2,2,9206,1,1,444,6718,0
"PSG2",0,0,0,0,0,0,714,0,2,4,5,3,37,83197,3,4,2,0,16,0
"RPS21",11,20335,0,1,1,3,0,0,9544,0,15,2996,0,7,2645,13,47809,29,14,1155
"LOC105372733",0,30,0,0,0,0,0,1,0,0,3,6,5,2,3,35492,2,0,0,1
"MAP3K7CL",2,6409,0,0,0,1,0,40858,1,5,1,0,0,8,13304,0,0,2376,32,0
"MAPK1",0,4104,0,0,0,1,0,0,337,0,16,100547,1,3,3,9,1,0,0,1
"LOC101929594",0,0,0,2,0,0,2,0,0,0,10,0,1,8,0,34,4,0,0,3
"MYH9",0,8,12,36444,2,0,0,16,3,1,2,18,0,16,3315,21,0,15,6182,0
"LOC107987393",15,3,0,1,0,11,5,2,8,14,391,1,12,57,6,387,10,5,0,5
"CYBB",0,1347,0,0,1,1,0,0,0,0,7,4,16,166689,4,8,7,0,0,0
"SMC1A",0,522,0,0,0,0,0,5,0,0,18,109656,0,3,4,11,1,0,0,0
