"C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","T01","T02","T03","T04","T05","T06","T07","T08","T09","T10"
"NCL",2,5247,0,0,2,0,0,0,16,10,20,7436,0,9,0,5,0,29,9,0
"PTMA",4,2544,0,287,0,6,0,0,67,0,5,1,0,1,2864,0,0,3,0,0
"HDLBP",8,0,13,0,6,0,0,7,1,12,0,0,0,0,0,0,0,39,113515,7
"ARL8B",4,344,46,0,19,88860,2,0,0,0,2,30,0,0,0,0,0,4,0,2
"RPL32",4,28695,0,11,1,2,3,28,61214,22,12,10,0,6,1206,0,0,64134,34380,2
"RPL15",7,17375,2,2,3,2,2,8,45319,7,10,11087,0,0,1101,1,2,30968,7034,2
"CRTAP",5,10,16,24,8,58147,3,0,0,0,0,0,0,0,879,59,0,0,0,0
"RPSA",6,10066,0,3,3396,3,0,0,237,2,0,7,8,4,692,0,0,20996,3,1
"RPL14",1,18794,6,0,1,4,1188,14,74242,14,2,0,0,0,4,31,0,6561,1,3
"GNAI2",6,3836,9,8,24,81,307748,2,0,0,0,8,0,0,2,0,0,0,0,0
"FAM107A",3,9963,2,7,19373,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0
"LOC107986015",0,1118,0,2,4,22,4,14,0,29,4,0,6,26,0,189,2,0,0,0
"PCNP",14,37597,0,415,1779,8,1,3,6,10,2,15769,0,0,400,586,2,31427,42727,0
"RPL24",1,4008,0,0,0,1,0,9,13,13,0,1,0,0,0,0,0,1238,158509,2
"XRN1",36,239,30,144,170,683670,7,4,4,4,0,0,0,21,0,0,0,4704,0,0
"LINC02067",3,16967,0,1,2,3,0,1,84,7,3,0,0,0,340,10,0,15263,0,4
"SNORA63",9,18488,3,2,0,4,0,4,2,16,6,4,2,11,28590,0,0,45814,271,2
"LOC101928669",12,0,6,1,0,38,7,8,0,3,0,2,0,3,1,587,2,1,7,2
"KIAA0232",6,19638,2,2,0,7,2,0,0,8,4,0,2,3,0,22,24996,0,0,0
